Datetime,Users_graduated,Total_Users,Users_not_graduated,Ratio
2014-12-1,55,213,158,0.25821596244131456
2015-01-1,2,3,1,0.6666666666666666
2015-02-1,1,3,2,0.3333333333333333
2015-03-1,10,10,0,1.0
2015-04-1,0,7,7,0.0
2015-05-1,3,23,20,0.13043478260869565
2015-06-1,10,17,7,0.5882352941176471
2015-07-1,2,16,14,0.125
2015-08-1,35,56,21,0.625
2015-09-1,9,14,5,0.6428571428571429
2015-10-1,14,31,17,0.45161290322580644
2015-11-1,15,60,45,0.25
2015-12-1,7,12,5,0.5833333333333334
2016-01-1,2,3,1,0.6666666666666666
2016-02-1,21,45,24,0.4666666666666667
2016-03-1,4,27,23,0.14814814814814814
2016-04-1,15,82,67,0.18292682926829268
2016-05-1,0,5,5,0.0
